stamp,d_fin,p_fin,s_fin,thruster
1684869329.78151,0,0,0,0
1684869329.82164,0,0,0,0
1684869329.86323,0,0,0,0
1684869329.90273,0,0,0,0
1684869329.94205,0,0,0,0
1684869329.98211,0,0,0,0
1684869330.0217,0,0,0,0
1684869330.06292,0,0,0,0
1684869330.10223,0,0,0,0
1684869330.14192,0,0,0,0
1684869330.18165,0,0,0,0
1684869330.22163,0,0,0,0
1684869330.26116,0,0,0,0
1684869330.30251,0,0,0,0
1684869330.343,0,0,0,0
1684869330.3827,0,0,0,0
1684869330.42155,0,0,0,0
1684869330.46163,0,0,0,0
1684869330.5021,0,0,0,0
1684869330.54276,0,0,0,0
1684869330.58204,0,0,0,0
1684869330.62196,0,0,0,0
1684869330.66167,0,0,0,0
1684869330.70242,0,0.442964554,-0.444535375,0.5
1684869330.74789,0,0.442964554,-0.444535375,0.5
1684869330.78316,0,0.442964554,-0.444535375,0.5
1684869330.82274,0,0.444535375,-0.446106166,0.5
1684869330.86205,0,0.444535375,-0.446106166,0.5
1684869330.90183,0,0.444535375,-0.446106166,0.5
1684869330.9425,0,0.425685793,-0.427256614,0.5
1684869330.98307,0,0.430398196,-0.431968987,0.5
1684869331.02265,0,0.430398196,-0.431968987,0.5
1684869331.06137,0,0.430398196,-0.431968987,0.5
1684869331.10168,0,0.402123868,-0.403694659,0.5
1684869331.14166,0,0.402123868,-0.403694659,0.5
1684869331.18207,0,0.380132705,-0.381703496,0.5
1684869331.22296,0,0.380132705,-0.381703496,0.5
1684869331.26265,0,0.380132705,-0.381703496,0.5
1684869331.30266,0,0.364424735,-0.365995556,0.5
1684869331.34211,0,0.364424735,-0.365995556,0.5
1684869331.38156,0,0.320442438,-0.322013259,0.5
1684869331.4217,0,0.320442438,-0.322013259,0.5
1684869331.46225,0,0.320442438,-0.322013259,0.5
1684869331.5015,0,0.312588483,-0.314159274,0.5
1684869331.54197,0,0.312588483,-0.314159274,0.5
1684869331.58203,0,0.295309722,-0.296880513,0.5
1684869331.6225,0,0.295309722,-0.296880513,0.5
1684869331.66304,0,0.295309722,-0.296880513,0.5
1684869331.70286,0,0.245044231,-0.246615022,0.5
1684869331.74266,0,0.245044231,-0.246615022,0.5
1684869331.78224,0,0.213628307,-0.215199098,0.5
1684869331.82141,0,0.213628307,-0.215199098,0.5
1684869331.86153,0,0.213628307,-0.215199098,0.5
1684869331.90141,0,0.17749998,-0.179070786,0.5
1684869331.94422,0,0.17749998,-0.179070786,0.5
1684869331.98114,0,0.163362816,-0.164933607,0.5
1684869332.02116,0,0.163362816,-0.164933607,0.5
1684869332.06202,0,0.163362816,-0.164933607,0.5
1684869332.10187,0,0.146084055,-0.147654861,0.5
1684869332.14319,0,0.146084055,-0.147654861,0.5
1684869332.18358,0,0.139800876,-0.141371667,0.5
1684869332.22261,0,0.139800876,-0.141371667,0.5
1684869332.26206,0,0.139800876,-0.141371667,0.5
1684869332.30165,0,0.139800876,-0.141371667,0.5
1684869332.34567,0,0.139800876,-0.141371667,0.5
1684869332.38209,0,0.163362816,-0.164933607,0.5
1684869332.42311,0,0.163362816,-0.164933607,0.5
1684869332.46221,0,0.163362816,-0.164933607,0.5
1684869332.50216,0,0.125663713,-0.127234504,0.5
1684869332.54493,0,0.125663713,-0.127234504,0.5
1684869332.58281,0,0.125663713,-0.127234504,0.5
1684869332.62283,0,0.15393804,-0.155508831,0.5
1684869332.66269,0,0.15393804,-0.155508831,0.5
1684869332.70228,0,0.19477874,-0.196349546,0.5
1684869332.74268,0,0.19477874,-0.196349546,0.5
1684869332.78164,0,0.215199098,-0.216769889,0.5
1684869332.82135,0,0.215199098,-0.216769889,0.5
1684869332.86175,0,0.215199098,-0.216769889,0.5
1684869332.90266,0,0.190066352,-0.191637158,0.5
1684869332.9455,0,0.190066352,-0.191637158,0.5
1684869332.98188,0,0.190066352,-0.191637158,0.5
1684869333.02152,0,0.174358398,-0.175929189,0.5
1684869333.06292,0,0.174358398,-0.175929189,0.5
1684869333.10282,0,0.174358398,-0.175929189,0.5
1684869333.14277,0,0.131946892,-0.133517683,0.5
1684869333.18223,0,0.113097332,-0.114668131,0.5
1684869333.22173,0,0.113097332,-0.114668131,0.5
1684869333.26201,0,0.113097332,-0.114668131,0.5
1684869333.30276,0,0.084823005,-0.086393796,0.5
1684869333.34424,0,0.084823005,-0.086393796,0.5
1684869333.3824,0,0.084823005,-0.086393796,0.5
1684869333.4223,0,0.034557518,-0.036128316,0.5
1684869333.46175,0,0.034557518,-0.036128316,0.5
1684869333.50172,0,0.034557518,-0.036128316,0.5
1684869333.54354,0,-0.009424778,0.007853982,0.5
1684869333.58267,0,-0.032986723,0.031415928,0.5
1684869333.62227,0,-0.032986723,0.031415928,0.5
1684869333.66194,0,-0.032986723,0.031415928,0.5
1684869333.70144,0,-0.084823005,0.083252206,0.5
1684869333.74268,0,-0.084823005,0.083252206,0.5
1684869333.78231,0,-0.084823005,0.083252206,0.5
1684869333.82311,0,-0.084823005,0.083252206,0.5
1684869333.8624,0,-0.084823005,0.083252206,0.5
1684869333.90238,0,-0.084823005,0.083252206,0.5
1684869333.94268,0,-0.131946892,0.130376101,0.5
1684869333.98169,0,-0.131946892,0.130376101,0.5
1684869334.02179,0,-0.146084055,0.144513264,0.5
1684869334.06147,0,-0.146084055,0.144513264,0.5
1684869334.10259,0,-0.155508831,0.15393804,0.5
1684869334.14515,0,-0.155508831,0.15393804,0.5
1684869334.18211,0,-0.155508831,0.15393804,0.5
1684869334.22206,0,-0.166504413,0.164933607,0.5
1684869334.26215,0,-0.166504413,0.164933607,0.5
1684869334.30204,0,-0.166504413,0.164933607,0.5
1684869334.34249,0,-0.186924756,0.185353965,0.5
1684869334.38214,0,-0.215199098,0.213628307,0.5
1684869334.42167,0,-0.215199098,0.213628307,0.5
1684869334.46141,0,-0.215199098,0.213628307,0.5
1684869334.50136,0,-0.205774322,0.204203516,0.5
1684869334.54174,0,-0.205774322,0.204203516,0.5
1684869334.58328,0,-0.227765471,0.226194665,0.5
1684869334.62177,0,-0.227765471,0.226194665,0.5
1684869334.66176,0,-0.227765471,0.226194665,0.5
1684869334.70174,0,-0.238761038,0.237190247,0.5
1684869334.74384,0,-0.238761038,0.237190247,0.5
1684869334.78201,0,-0.249756619,0.248185813,0.5
1684869334.82171,0,-0.249756619,0.248185813,0.5
1684869334.86134,0,-0.249756619,0.248185813,0.5
1684869334.90178,0,-0.252898216,0.251327425,0.5
1684869334.94311,0,-0.252898216,0.251327425,0.5
1684869334.98294,0,-0.241902635,0.240331843,0.5
1684869335.0225,0,-0.241902635,0.240331843,0.5
1684869335.06167,0,-0.241902635,0.240331843,0.5
1684869335.10192,0,-0.238761038,0.237190247,0.5
1684869335.1427,0,-0.238761038,0.237190247,0.5
1684869335.18277,0,-0.245044231,0.243473426,0.5
1684869335.22154,0,-0.245044231,0.243473426,0.5
1684869335.26132,0,-0.245044231,0.243473426,0.5
1684869335.30258,0,-0.235619456,0.23404865,0.5
1684869335.34335,0,-0.235619456,0.23404865,0.5
1684869335.38204,0,-0.226194665,0.224623874,0.5
1684869335.42203,0,-0.226194665,0.224623874,0.5
1684869335.46302,0,-0.226194665,0.224623874,0.5
1684869335.50264,0,-0.241902635,0.240331843,0.5
1684869335.54224,0,-0.241902635,0.240331843,0.5
1684869335.58201,0,-0.215199098,0.213628307,0.5
1684869335.62267,0,-0.215199098,0.213628307,0.5
1684869335.66286,0,-0.215199098,0.213628307,0.5
1684869335.70166,0,-0.202632725,0.201061934,0.5
1684869335.742,0,-0.202632725,0.201061934,0.5
1684869335.78153,0,-0.201061934,0.199491128,0.5
1684869335.82173,0,-0.201061934,0.199491128,0.5
1684869335.86327,0,-0.201061934,0.199491128,0.5
1684869335.90297,0,-0.174358398,0.172787592,0.5
1684869335.94268,0,-0.174358398,0.172787592,0.5
1684869335.9818,0,-0.152367249,0.150796443,0.5
1684869336.0232,0,-0.152367249,0.150796443,0.5
1684869336.06252,0,-0.152367249,0.150796443,0.5
1684869336.10265,0,-0.135088488,0.133517683,0.5
1684869336.14592,0,-0.135088488,0.133517683,0.5
1684869336.18155,0,-0.109955743,0.108384944,0.5
1684869336.22153,0,-0.109955743,0.108384944,0.5
1684869336.26128,0,-0.109955743,0.108384944,0.5
1684869336.3021,0,-0.078539819,0.07696902,0.5
1684869336.34346,0,-0.078539819,0.07696902,0.5
1684869336.3826,0,-0.062831856,0.061261058,0.5
1684869336.42202,0,-0.062831856,0.061261058,0.5
1684869336.46153,0,-0.062831856,0.061261058,0.5
1684869336.5061,0,-0.015707964,0.014137167,0.5
1684869336.54282,0,-0.015707964,0.014137167,0.5
1684869336.58229,0,0.007853982,-0.009424778,0.5
1684869336.62172,0,0.007853982,-0.009424778,0.5
1684869336.66142,0,0.007853982,-0.009424778,0.5
1684869336.70215,0,0.039269909,-0.040840704,0.5
1684869336.74259,0,0.039269909,-0.040840704,0.5
1684869336.78313,0,0.053407077,-0.054977871,0.5
1684869336.82242,0,0.053407077,-0.054977871,0.5
1684869336.86181,0,0.053407077,-0.054977871,0.5
1684869336.90162,0,0.065973446,-0.067544244,0.5
1684869336.94317,0,0.065973446,-0.067544244,0.5
1684869336.98253,0,0.064402647,-0.065973446,0.5
1684869337.0221,0,0.064402647,-0.065973446,0.5
1684869337.06142,0,0.064402647,-0.065973446,0.5
1684869337.10121,0,0.053407077,-0.054977871,0.5
1684869337.14263,0,0.053407077,-0.054977871,0.5
1684869337.18278,0,0.075398222,-0.07696902,0.5
1684869337.2227,0,0.075398222,-0.07696902,0.5
1684869337.26261,0,0.075398222,-0.07696902,0.5
1684869337.3023,0,0.07696902,-0.078539819,0.5
1684869337.34226,0,0.07696902,-0.078539819,0.5
1684869337.38155,0,0.058119465,-0.059690259,0.5
1684869337.42155,0,0.058119465,-0.059690259,0.5
1684869337.46186,0,0.058119465,-0.059690259,0.5
1684869337.5026,0,0.02984513,-0.031415928,0.5
1684869337.54286,0,0.02984513,-0.031415928,0.5
1684869337.58237,0,0.02984513,-0.031415928,0.5
1684869337.6226,0,0.051836278,-0.053407077,0.5
1684869337.66228,0,0.051836278,-0.053407077,0.5
1684869337.70273,0,0.056548666,-0.058119465,0.5
1684869337.74266,0,0.056548666,-0.058119465,0.5
1684869337.78192,0,0.010995574,-0.012566371,0.5
1684869337.82193,0,0.010995574,-0.012566371,0.5
1684869337.86151,0,0.010995574,-0.012566371,0.5
1684869337.90168,0,-0.015707964,0.014137167,0.5
1684869337.94184,0,-0.015707964,0.014137167,0.5
1684869337.98137,0,-0.015707964,0.014137167,0.5
1684869338.0221,0,-0.012566371,0.010995574,0.5
1684869338.06193,0,-0.012566371,0.010995574,0.5
1684869338.10193,0,-0.025132742,0.023561945,0.5
1684869338.14194,0,-0.025132742,0.023561945,0.5
1684869338.18262,0,-0.017278759,0.015707964,0.5
1684869338.22208,0,-0.017278759,0.015707964,0.5
1684869338.26166,0,-0.017278759,0.015707964,0.5
1684869338.3017,0,-0.042411502,0.040840704,0.5
1684869338.34204,0,-0.042411502,0.040840704,0.5
1684869338.38193,0,-0.042411502,0.040840704,0.5
1684869338.4231,0,-0.042411502,0.040840704,0.5
1684869338.46269,0,-0.042411502,0.040840704,0.5
1684869338.50208,0,-0.064402647,0.062831856,0.5
1684869338.54258,0,-0.064402647,0.062831856,0.5
1684869338.58239,0,-0.084823005,0.083252206,0.5
1684869338.62324,0,-0.084823005,0.083252206,0.5
1684869338.66195,0,-0.084823005,0.083252206,0.5
1684869338.70173,0,-0.086393796,0.084823005,0.5
1684869338.74287,0,-0.086393796,0.084823005,0.5
1684869338.78137,0,-0.086393796,0.084823005,0.5
1684869338.82134,0,-0.095818579,0.094247781,0.5
1684869338.86126,0,-0.095818579,0.094247781,0.5
1684869338.90297,0,-0.103672557,0.102101758,0.5
1684869338.94417,0,-0.103672557,0.102101758,0.5
1684869338.98181,0,-0.089535393,0.087964594,0.5
1684869339.02209,0,-0.089535393,0.087964594,0.5
1684869339.06209,0,-0.089535393,0.087964594,0.5
1684869339.10297,0,-0.087964594,0.086393796,0.5
1684869339.14195,0,-0.087964594,0.086393796,0.5
1684869339.18175,0,-0.087964594,0.086393796,0.5
1684869339.22168,0,-0.111526541,0.109955743,0.5
1684869339.26228,0,-0.111526541,0.109955743,0.5
1684869339.30298,0,-0.08011061,0.078539819,0.5
1684869339.34291,0,-0.08011061,0.078539819,0.5
1684869339.3816,0,-0.086393796,0.084823005,0.5
1684869339.42229,0,-0.086393796,0.084823005,0.5
1684869339.46301,0,-0.086393796,0.084823005,0.5
1684869339.50279,0,-0.07696902,0.075398222,0.5
1684869339.54269,0,-0.07696902,0.075398222,0.5
1684869339.58191,0,-0.07696902,0.075398222,0.5
1684869339.62137,0,-0.094247781,0.092676982,0.5
1684869339.66113,0,-0.094247781,0.092676982,0.5
1684869339.70121,0,-0.094247781,0.092676982,0.5
1684869339.74384,0,-0.087964594,0.086393796,0.5
1684869339.78259,0,-0.081681408,0.08011061,0.5
1684869339.82194,0,-0.081681408,0.08011061,0.5
1684869339.86147,0,-0.081681408,0.08011061,0.5
1684869339.9025,0,-0.072256632,0.070685834,0.5
1684869339.94338,0,-0.072256632,0.070685834,0.5
1684869339.98263,0,-0.072256632,0.070685834,0.5
1684869340.02234,0,-0.069115035,0.067544244,0.5
1684869340.06152,0,-0.069115035,0.067544244,0.5
1684869340.10223,0,-0.069115035,0.067544244,0.5
1684869340.14611,0,-0.059690259,0.058119465,0.5
1684869340.1835,0,-0.053407077,0.051836278,0.5
1684869340.22261,0,-0.053407077,0.051836278,0.5
1684869340.26207,0,-0.053407077,0.051836278,0.5
1684869340.30165,0,-0.054977871,0.053407077,0.5
1684869340.34215,0,-0.054977871,0.053407077,0.5
1684869340.38317,0,-0.054977871,0.053407077,0.5
1684869340.42241,0,-0.045553092,0.043982297,0.5
1684869340.46191,0,-0.045553092,0.043982297,0.5
1684869340.50178,0,-0.045553092,0.043982297,0.5
1684869340.54158,0,-0.043982297,0.042411502,0.5
1684869340.58204,0,-0.026703538,0.025132742,0.5
1684869340.62255,0,-0.026703538,0.025132742,0.5
1684869340.66259,0,-0.026703538,0.025132742,0.5
1684869340.70215,0,0,0,0
1684869340.74204,0,-0.298451304,0.296880513,0.5
1684869340.78168,0,-0.298451304,0.296880513,0.5
1684869340.82153,0,-0.40526545,0.403694659,0.5
1684869340.86174,0,-0.40526545,0.403694659,0.5
1684869340.90255,0,-0.40526545,0.403694659,0.5
1684869340.94187,0,-0.301592886,0.300022095,0.5
1684869340.9819,0,-0.301592886,0.300022095,0.5
1684869341.02278,0,-0.301592886,0.300022095,0.5
1684869341.06238,0,-0.29059732,0.289026529,0.5
1684869341.10308,0,-0.29059732,0.289026529,0.5
1684869341.14259,0,-0.252898216,0.251327425,0.5
1684869341.1818,0,-0.252898216,0.251327425,0.5
1684869341.22184,0,-0.201061934,0.199491128,0.5
1684869341.2617,0,-0.201061934,0.199491128,0.5
1684869341.3019,0,-0.201061934,0.199491128,0.5
1684869341.34166,0,-0.109955743,0.108384944,0.5
1684869341.38334,0,-0.109955743,0.108384944,0.5
1684869341.42245,0,-0.109955743,0.108384944,0.5
1684869341.46213,0,-0.036128316,0.034557518,0.5
1684869341.50249,0,-0.036128316,0.034557518,0.5
1684869341.54225,0,0.067544244,-0.069115035,0.5
1684869341.58193,0,0.067544244,-0.069115035,0.5
1684869341.62195,0,0.128805295,-0.130376101,0.5
1684869341.66263,0,0.128805295,-0.130376101,0.5
1684869341.70159,0,0.128805295,-0.130376101,0.5
1684869341.74182,0,0.182212368,-0.183783174,0.5
1684869341.78171,0,0.182212368,-0.183783174,0.5
1684869341.82271,0,0.182212368,-0.183783174,0.5
1684869341.86259,0,0.204203516,-0.205774322,0.5
1684869341.9021,0,0.204203516,-0.205774322,0.5
1684869341.9421,0,0.208915904,-0.21048671,0.5
1684869341.98221,0,0.208915904,-0.21048671,0.5
1684869342.02274,0,0.201061934,-0.202632725,0.5
1684869342.06267,0,0.201061934,-0.202632725,0.5
1684869342.10183,0,0.201061934,-0.202632725,0.5
1684869342.14182,0,0.174358398,-0.175929189,0.5
1684869342.18158,0,0.174358398,-0.175929189,0.5
1684869342.22128,0,0.174358398,-0.175929189,0.5
1684869342.26156,0,0.149225652,-0.150796443,0.5
1684869342.30286,0,0.149225652,-0.150796443,0.5
1684869342.34251,0,0.125663713,-0.127234504,0.5
1684869342.38191,0,0.125663713,-0.127234504,0.5
1684869342.42171,0,0.08011061,-0.081681408,0.5
1684869342.46191,0,0.08011061,-0.081681408,0.5
1684869342.50296,0,0.08011061,-0.081681408,0.5
1684869342.54231,0,0.051836278,-0.053407077,0.5
1684869342.58176,0,0.051836278,-0.053407077,0.5
1684869342.62184,0,0.051836278,-0.053407077,0.5
1684869342.66183,0,0.02984513,-0.031415928,0.5
1684869342.70311,0,0.02984513,-0.031415928,0.5
1684869342.74333,0,0,-0.001570796,0.5
1684869342.78293,0,0,-0.001570796,0.5
1684869342.82201,0,-0.021991149,0.020420352,0.5
1684869342.86205,0,-0.021991149,0.020420352,0.5
1684869342.90294,0,-0.021991149,0.020420352,0.5
1684869342.94298,0,-0.056548666,0.054977871,0.5
1684869342.98271,0,-0.056548666,0.054977871,0.5
1684869343.02176,0,-0.056548666,0.054977871,0.5
1684869343.0617,0,-0.073827431,0.072256632,0.5
1684869343.10152,0,-0.073827431,0.072256632,0.5
1684869343.14211,0,-0.073827431,0.072256632,0.5
1684869343.18321,0,-0.091106184,0.089535393,0.5
1684869343.22285,0,-0.095818579,0.094247781,0.5
1684869343.26234,0,-0.095818579,0.094247781,0.5
1684869343.3017,0,-0.095818579,0.094247781,0.5
1684869343.3423,0,-0.087964594,0.086393796,0.5
1684869343.38253,0,-0.087964594,0.086393796,0.5
1684869343.42237,0,-0.087964594,0.086393796,0.5
1684869343.462,0,-0.094247781,0.092676982,0.5
1684869343.5017,0,-0.094247781,0.092676982,0.5
1684869343.54224,0,-0.094247781,0.092676982,0.5
1684869343.58259,0,-0.111526541,0.109955743,0.5
1684869343.62387,0,-0.100530967,0.098960169,0.5
1684869343.66257,0,-0.100530967,0.098960169,0.5
1684869343.70219,0,-0.100530967,0.098960169,0.5
1684869343.74183,0,-0.103672557,0.102101758,0.5
1684869343.78139,0,-0.103672557,0.102101758,0.5
1684869343.82186,0,-0.103672557,0.102101758,0.5
1684869343.86224,0,-0.102101758,0.100530967,0.5
1684869343.90197,0,-0.102101758,0.100530967,0.5
1684869343.94129,0,-0.102101758,0.100530967,0.5
1684869343.98132,0,-0.07696902,0.075398222,0.5
1684869344.02211,0,-0.061261058,0.059690259,0.5
1684869344.06265,0,-0.061261058,0.059690259,0.5
1684869344.10273,0,-0.061261058,0.059690259,0.5
1684869344.14247,0,-0.056548666,0.054977871,0.5
1684869344.18204,0,-0.056548666,0.054977871,0.5
1684869344.22181,0,-0.056548666,0.054977871,0.5
1684869344.26163,0,-0.040840704,0.039269909,0.5
1684869344.30194,0,-0.040840704,0.039269909,0.5
1684869344.34177,0,-0.040840704,0.039269909,0.5
1684869344.38301,0,-0.04712389,0.045553092,0.5
1684869344.42192,0,-0.018849555,0.017278759,0.5
1684869344.46214,0,-0.018849555,0.017278759,0.5
1684869344.5019,0,-0.018849555,0.017278759,0.5
1684869344.54244,0,-0.001570796,0,0.5
1684869344.58198,0,-0.001570796,0,0.5
1684869344.62197,0,-0.001570796,0,0.5
1684869344.66216,0,0.004712389,-0.006283185,0.5
1684869344.70167,0,0.004712389,-0.006283185,0.5
1684869344.74141,0,0.004712389,-0.006283185,0.5
1684869344.78109,0,0.007853982,-0.009424778,0.5
1684869344.82314,0,0.009424778,-0.010995574,0.5
1684869344.86243,0,0.009424778,-0.010995574,0.5
1684869344.90237,0,0.009424778,-0.010995574,0.5
1684869344.94254,0,0.036128316,-0.037699111,0.5
1684869344.98216,0,0.036128316,-0.037699111,0.5
1684869345.02275,0,0.04712389,-0.048694685,0.5
1684869345.06174,0,0.04712389,-0.048694685,0.5
1684869345.1016,0,0.04712389,-0.048694685,0.5
1684869345.14189,0,0.04712389,-0.048694685,0.5
1684869345.18281,0,0.043982297,-0.045553092,0.5
1684869345.22253,0,0.073827431,-0.075398222,0.5
